genename	species	cancername	sample	method
GEM	Mice	pancreatic cancer	PDAC cell lines (Panc1, MiaPaCa2, and PSN1 cell lines)	qRT-PCR,MiRNA microarray
GPC1	Homo sapiens (human)	colorectal cancer	HCT-116 Cells	Cell apoptosis
GPC1	Mice	colorectal cancer	HCT-116 Cells	Cell apoptosis
CD63	Homo sapiens (human)	breast cancer	MCF-7 Cells	NA
CD63	Homo sapiens (human)	prostate cancer	MCF-7 Cells	NA
APP	Homo sapiens (human)	Alzheimer Disease	KO line, ES cells	Western blot
APP	Mice	Alzheimer Disease	KO line, ES cells	Western blot
TSPAN6	Homo sapiens (human)	Alzheimer Disease	KO line, ES cells	Western blot
TSPAN6	Mice	Alzheimer Disease	KO line, ES cells	Western blot
HSP27	Homo sapiens (human)	ovarian cancer	human OC cell lines OVCAR-3 and SK-OV-3	Western Blot,ELISA
PER	Homo sapiens (human)	ovarian cancer	human OC cell lines OVCAR-3 and SK-OV-3	Western Blot,ELISA
PER	Rats	ovarian cancer	human OC cell lines OVCAR-3 and SK-OV-3	Western Blot,ELISA
HLA-A	Homo sapiens (human)	Oropharyngeal Cancer	HMLE cells 	Next Generation whole genome sequencing,Immunohistochemistry,western blot
HLA-B	Homo sapiens (human)	Oropharyngeal Cancer	HMLE cells 	Next Generation whole genome sequencing,Immunohistochemistry,western blot
HLA-DRB1	Homo sapiens (human)	Oropharyngeal Cancer	HMLE cells 	Next Generation whole genome sequencing,Immunohistochemistry,western blot
MUC2	Homo sapiens (human)	Oropharyngeal Cancer	HMLE cells 	Next Generation whole genome sequencing,Immunohistochemistry,western blot
MUC4	Homo sapiens (human)	Oropharyngeal Cancer	HMLE cells 	Next Generation whole genome sequencing,Immunohistochemistry,western blot
MUC6	Homo sapiens (human)	Oropharyngeal Cancer	HMLE cells 	Next Generation whole genome sequencing,Immunohistochemistry,western blot
MUC12	Homo sapiens (human)	Oropharyngeal Cancer	HMLE cells 	Next Generation whole genome sequencing,Immunohistochemistry,western blot
MUC16	Homo sapiens (human)	Oropharyngeal Cancer	HMLE cells 	Next Generation whole genome sequencing,Immunohistochemistry,western blot
SIRPA	Homo sapiens (human)	Oropharyngeal Cancer	HMLE cells 	Next Generation whole genome sequencing,Immunohistochemistry,western blot
EGFR	Homo sapiens (human)	liver cancer	SGC7901 (human gastric adenocarcinoma cell) 	RT-PCR,Luciferase assay,Western blot,etc.
EGFR	Homo sapiens (human)	gastric cancer	SGC7901 (human gastric adenocarcinoma cell) 	RT-PCR,Luciferase assay,Western blot,etc.
HGF	Homo sapiens (human)	liver cancer	SGC7901 (human gastric adenocarcinoma cell) 	RT-PCR,Luciferase assay,Western blot,etc.
HGF	Homo sapiens (human)	gastric cancer	SGC7901 (human gastric adenocarcinoma cell) 	RT-PCR,Luciferase assay,Western blot,etc.
WNT10B	Homo sapiens (human)	breast cancer	Cancer-Associated Fibroblasts	NA
WNT10B	Mice	breast cancer	Cancer-Associated Fibroblasts	NA
PER	Homo sapiens (human)	Multiple Sclerosis	NA	NA
RAB27A	Homo sapiens (human)	Parkinson Disease	MN9D cells	Western blot
HFE	Homo sapiens (human)	Neuroblastoma	NA	NA
IL6	Homo sapiens (human)	Liposarcoma	Tumor-Associated Macrophages	Cell proliferation
IL6	Mice	Liposarcoma	Tumor-Associated Macrophages	Cell proliferation
FKRP	Homo sapiens (human)	Limb-Girdle Muscular Dystrophy	NA	NA
FKRP	Mice	Limb-Girdle Muscular Dystrophy	NA	NA
GEM	Mice	pancreatic cancer	MDSC	NA
CD36	Homo sapiens (human)	Diabetes Mellitus	NA	NA
PI3	Homo sapiens (human)	Diabetes Mellitus	NA	NA
MSC	Homo sapiens (human)	liver cancer	HepG2 Cells,Myofibroblasts	Cell migration,Cell proliferation
SCAMP5	Homo sapiens (human)	Huntington Disease	NA	NA
RN7SL1	Homo sapiens (human)	breast cancer	NA	NA
EGFR	Homo sapiens (human)	lung cancer	NA	NA
EGFR	Homo sapiens (human)	lung cancer	NA	NA
CXCL12	Homo sapiens (human)	acute myeloid leukemia	NA	Cell proliferation
CXCL12	Mice	acute myeloid leukemia	NA	Cell proliferation
DKK1	Homo sapiens (human)	acute myeloid leukemia	NA	Cell proliferation
DKK1	Mice	acute myeloid leukemia	NA	Cell proliferation
RAB27A	Homo sapiens (human)	acute myeloid leukemia	NA	Cell proliferation
RAB27A	Mice	acute myeloid leukemia	NA	Cell proliferation
RAB27A	Homo sapiens (human)	prostate cancer	NA	NA
CD63	Homo sapiens (human)	Down Syndrome	NA	NA
CD63	Mice	Down Syndrome	NA	NA
C6	Homo sapiens (human)	Malignant Melanoma	Plasma Cells	NA
SP1	Mice	Huntington Disease	NA	NA
UBR2	Homo sapiens (human)	gastric cancer	NA	Cell proliferation
UBR2	Mice	gastric cancer	NA	Cell proliferation
MSC	Homo sapiens (human)	gastric cancer	NA	Cell proliferation
MSC	Mice	gastric cancer	NA	Cell proliferation
NANOG	Homo sapiens (human)	gastric cancer	NA	Cell proliferation
NANOG	Mice	gastric cancer	NA	Cell proliferation
MSC	Homo sapiens (human)	neonatal lung injury	NA	NA
MSC	Mice	neonatal lung injury	NA	NA
ERK	Rats, Sprague-Dawley	Traumatic Brain Injury	NA	Western blot
MTOR	Homo sapiens (human)	gastric cancer	Th17 Cells	Western blot,Flow Cytometry,Immunohistochemistry
EXOSC2	Homo sapiens (human)	Retinitis Pigmentosa	NA	NA
EXOSC3	Homo sapiens (human)	Retinitis Pigmentosa	NA	NA
EXOSC8	Homo sapiens (human)	Retinitis Pigmentosa	NA	NA
MIR23A	Homo sapiens (human)	breast cancer	NA	Cell proliferation
MIR186	Homo sapiens (human)	breast cancer	NA	Cell proliferation
MIR205	Homo sapiens (human)	breast cancer	NA	Cell proliferation
FUSE	Homo sapiens (human)	HIV Infections	NA	NA
CD47	Homo sapiens (human)	breast cancer	NA	NA
CXCR4	Homo sapiens (human)	breast cancer	NA	NA
GSTP1	Homo sapiens (human)	breast cancer	NA	NA
HTR7	Homo sapiens (human)	breast cancer	NA	NA
KDR	Homo sapiens (human)	breast cancer	NA	NA
KISS1R	Homo sapiens (human)	breast cancer	NA	NA
NANOG	Homo sapiens (human)	breast cancer	NA	NA
NEUROD1	Homo sapiens (human)	breast cancer	NA	NA
TRPC5	Homo sapiens (human)	breast cancer	NA	NA
SNCA	Homo sapiens (human)	Parkinson Disease	NA	NA
SNCA	Mice	Lewy Body Disease	NA	NA
CD9	Homo sapiens (human)	Lentivirus Infections	NA	NA
ATG5	Homo sapiens (human)	breast cancer	NA	NA
ATG5	Mice	breast cancer	NA	NA
ATG7	Homo sapiens (human)	breast cancer	NA	NA
ATG7	Mice	breast cancer	NA	NA
ATG16L1	Homo sapiens (human)	breast cancer	NA	NA
ATG16L1	Mice	breast cancer	NA	NA
ATP6V1E1	Homo sapiens (human)	breast cancer	NA	NA
ATP6V1E1	Mice	breast cancer	NA	NA
CD63	Homo sapiens (human)	liver cancer	293T Cells	Cell migration
RAB27B	Homo sapiens (human)	acute myeloid leukemia	NA	NA
RAB27B	Mice	acute myeloid leukemia	NA	NA
CD63	Homo sapiens (human)	prostate cancer	NA	NA
EGFR	Homo sapiens (human)	lung cancer	NA	qPCR
GBA	Homo sapiens (human)	Parkinson Disease	NA	NA
GBA	Mice	Parkinson Disease	NA	NA
EIF3C	Homo sapiens (human)	liver cancer	HUVEC Cells	Cell migration
EIF3C	Mice	liver cancer	HUVEC Cells	Cell migration
S100A11	Homo sapiens (human)	liver cancer	HUVEC Cells	Cell migration
S100A11	Mice	liver cancer	HUVEC Cells	Cell migration
HIF1A	Homo sapiens (human)	liver cancer	HUVEC Cells	Cell migration
HIF1A	Mice	liver cancer	HUVEC Cells	Cell migration
BAX	Homo sapiens (human)	Alzheimer Disease	NA	Cell apoptosis,ELISA,Flow Cytometry
BAX	Mice	Alzheimer Disease	NA	Cell apoptosis,ELISA,Flow Cytometry
BCL2	Homo sapiens (human)	Alzheimer Disease	NA	Cell apoptosis,ELISA,Flow Cytometry
BCL2	Mice	Alzheimer Disease	NA	Cell apoptosis,ELISA,Flow Cytometry
ACHE	Homo sapiens (human)	lung cancer	NA	NA
IL15	Homo sapiens (human)	Malignant Melanoma	NA	NA
ERK	Homo sapiens (human)	lung cancer	NA	NA
ADAM10	Homo sapiens (human)	Hodgkin Lymphoma	NA	NA
CD30	Homo sapiens (human)	Hodgkin Lymphoma	NA	NA
MICA	Homo sapiens (human)	Hodgkin Lymphoma	NA	NA
MSC	Homo sapiens (human)	Hodgkin Lymphoma	NA	NA
RPE	Homo sapiens (human)	age-related macular degeneration	NA	NA
CD9	Homo sapiens (human)	Diabetic Nephropathy	NA	RT-PCR,Western blot
TSG101	Homo sapiens (human)	Diabetic Nephropathy	NA	RT-PCR,Western blot
CD63	Homo sapiens (human)	HIV Infections	NA	Immunoblotting
CRP	Homo sapiens (human)	HIV Infections	NA	Immunoblotting
HLA-A	Homo sapiens (human)	HIV Infections	NA	Immunoblotting
NOTCH4	Homo sapiens (human)	HIV Infections	NA	Immunoblotting
PRDX1	Homo sapiens (human)	HIV Infections	NA	Immunoblotting
PRDX2	Homo sapiens (human)	HIV Infections	NA	Immunoblotting
PDLIM2	Homo sapiens (human)	breast cancer	NA	NA
PDLIM2	Mice	breast cancer	NA	NA
APP	Homo sapiens (human)	Alzheimer Disease	NA	NA
HMGB1	Homo sapiens (human)	Alzheimer Disease	NA	NA
IRAK1	Homo sapiens (human)	Alzheimer Disease	NA	NA
S100B	Homo sapiens (human)	Alzheimer Disease	NA	NA
RUNX2	Homo sapiens (human)	Malignant Melanoma	NA	NA
RUNX2	Mice	Malignant Melanoma	NA	NA
RUNX2-AS1	Homo sapiens (human)	Malignant Melanoma	NA	NA
RUNX2-AS1	Mice	Malignant Melanoma	NA	NA
MIR-21	Homo sapiens (human)	lung cancer	NA	Flow Cytometry
SNAP	Homo sapiens (human)	breast cancer	NA	NA
THBS1	Homo sapiens (human)	oral squamous cell carcinoma	Tumor-Associated Macrophages	Flow Cytometry
PART1	Homo sapiens (human)	esophageal cancer	NA	FISH,microarray,RT-qPCR
PART1	Mice	esophageal cancer	NA	FISH,microarray,RT-qPCR
STAT1	Homo sapiens (human)	esophageal cancer	NA	FISH,microarray,RT-qPCR
STAT1	Mice	esophageal cancer	NA	FISH,microarray,RT-qPCR
RPS15A	Homo sapiens (human)	Diamond-Blackfan Anemia	NA	NA
PARN	Homo sapiens (human)	breast cancer	NA	NA
RND3	Homo sapiens (human)	colorectal cancer	HCT-116 Cell	Cell proliferation
RND3	Mice	colorectal cancer	HCT-116 Cell	Cell proliferation
c-myb	Homo sapiens (human)	gastric cancer	Human Umbilical Vein Endothelial Cells	qPCR
c-myb	Mice	gastric cancer	Human Umbilical Vein Endothelial Cells	qPCR
NEAT1	Mice	Inflammatory Bowel Disease	NA	Western blot
TLR4	Homo sapiens (human)	Rheumatoid Arthritis	THP-1 Cells	Cell proliferation,microarray,qRT-PCR
BRAF	Homo sapiens (human)	Malignant Melanoma	NA	NA
DMD	Mice	Duchenne Muscular Dystrophy	NA	NA
KIF5C	Mice	Prion Disease	NA	NA
KIF5C	Homo sapiens (human)	Prion Disease	NA	NA
S100A16	Homo sapiens (human)	lung cancer	NA	Western blot
S100A16	Mice	lung cancer	NA	Western blot
GAN	Homo sapiens (human)	Brain Metastases	NA	Western blot
GAN	Mice	Brain Metastases	NA	Western blot
GAN	Homo sapiens (human)	lung cancer	NA	Western blot
GAN	Mice	lung cancer	NA	Western blot
CD4	Homo sapiens (human)	HIV Infections	NA	NA
CD63	Homo sapiens (human)	gastric cancer	NA	NA
FACE	Homo sapiens (human)	Malaria	NA	Western blot
DIS3	Homo sapiens (human)	Malaria	NA	Western blot
CORD	Homo sapiens (human)	Failed Back Surgery Syndrome	NA	NA
CORD	Rabbits	Failed Back Surgery Syndrome	NA	NA
CORD	Mice	Failed Back Surgery Syndrome	NA	NA
AXL	Homo sapiens (human)	oral squamous cell carcinoma	Cancer-Associated Fibroblasts	Cell proliferation
AXL	Mice	oral squamous cell carcinoma	Cancer-Associated Fibroblasts	Cell proliferation
PTENP1	Homo sapiens (human)	bladder cancer	NA	NA
PTENP1	Mice	bladder cancer	NA	NA
CFL2	Homo sapiens (human)	Malignant Melanoma	NA	NA
GANAB	Homo sapiens (human)	Malignant Melanoma	NA	NA
GSN	Homo sapiens (human)	Malignant Melanoma	NA	NA
HSP90AB1	Homo sapiens (human)	Malignant Melanoma	NA	NA
HSP90B1	Homo sapiens (human)	Malignant Melanoma	NA	NA
HSPA1L	Homo sapiens (human)	Malignant Melanoma	NA	NA
HSPA5	Homo sapiens (human)	Malignant Melanoma	NA	NA
NRAS	Homo sapiens (human)	Malignant Melanoma	NA	NA
PHS	Homo sapiens (human)	Malignant Melanoma	NA	NA
CLDN16	Homo sapiens (human)	Nephrocalcinosis	NA	qRT-PCR,Immunoblotting
CLDN16	Homo sapiens (human)	Hypercalciuria	NA	qRT-PCR,Immunoblotting
CLDN19	Homo sapiens (human)	Nephrocalcinosis	NA	qRT-PCR,Immunoblotting
CLDN19	Homo sapiens (human)	Hypercalciuria	NA	qRT-PCR,Immunoblotting
MSC	Homo sapiens (human)	breast cancer	NA	NA
LINC00461	Homo sapiens (human)	Malignant Melanoma	Plasma Cells	Cell apoptosis,Cell proliferation
LPS	Homo sapiens (human)	Pseudomonas Infections	NA	NA
TLR4	Homo sapiens (human)	Pseudomonas Infections	NA	NA
APC	Homo sapiens (human)	colorectal cancer	NA	Cell proliferation,microarray
APC	Mice	colorectal cancer	NA	Cell proliferation,microarray
RAB5B	Homo sapiens (human)	colorectal cancer	NA	Cell proliferation,microarray
RAB5B	Mice	colorectal cancer	NA	Cell proliferation,microarray
WNT1	Homo sapiens (human)	colorectal cancer	NA	Cell proliferation,microarray
WNT1	Mice	colorectal cancer	NA	Cell proliferation,microarray
EGFR	Homo sapiens (human)	lung cancer	NA	NA
APC	Homo sapiens (human)	breast cancer	NA	NA
APC	Mice	breast cancer	NA	NA
USP7	Homo sapiens (human)	liver cancer	NA	NA
USP7	Mice	liver cancer	NA	NA
CAB39	Homo sapiens (human)	pancreatic cancer	NA	NA
MEN1	Homo sapiens (human)	pancreatic cancer	NA	NA
PDCD4	Homo sapiens (human)	pancreatic cancer	NA	NA
EXOSC5	Homo sapiens (human)	Hepatitis B	NA	NA
PRDX1	Homo sapiens (human)	Hepatitis B	NA	NA
CLS	Homo sapiens (human)	colorectal cancer	NA	NA
PSMA3	Homo sapiens (human)	Malignant Melanoma	NA	Western blot
PSMA3	Mice	Malignant Melanoma	NA	Western blot
PSMA3-AS1	Homo sapiens (human)	Malignant Melanoma	NA	Western blot
PSMA3-AS1	Mice	Malignant Melanoma	NA	Western blot
EPHA2	Homo sapiens (human)	pancreatic cancer	NA	NA
GEM	Homo sapiens (human)	pancreatic cancer	NA	NA
MIA	Homo sapiens (human)	pancreatic cancer	NA	NA
FACE	Homo sapiens (human)	prostate cancer	NA	NA
CD63	Homo sapiens (human)	liver cancer	HepG2 Cell	NA
PER	Homo sapiens (human)	liver cancer	HepG2 Cell	NA
LOXL4	Homo sapiens (human)	liver cancer	Human Umbilical Vein Endothelial Cells	Cell migration and invasion
RAB27A	Mice	Malignant Melanoma	NA	Cell apoptosis,Cell proliferation,microarray
CD9	Escherichia coli	Bacteriuria	NA	ELISA,Western blot
CD9	Homo sapiens (human)	Bacteriuria	NA	ELISA,Western blot
ERK	Escherichia coli	Bacteriuria	NA	ELISA,Western blot
ERK	Homo sapiens (human)	Bacteriuria	NA	ELISA,Western blot
CD9	Homo sapiens (human)	Periodontitis	NA	ELISA
CD81	Homo sapiens (human)	Periodontitis	NA	ELISA
PDCD4	Homo sapiens (human)	esophageal cancer	NA	Dual-luciferase reporter
CDC25A	Homo sapiens (human)	esophageal cancer	NA	NA
CDC25A	Mice	esophageal cancer	NA	NA
MTOR	Mice	Diabetic Nephropathy	NA	Cell apoptosis,Luciferase reporter assay,Flow Cytometry,Immunoblotting
SMAD1	Mice	Diabetic Nephropathy	NA	Cell apoptosis,Luciferase reporter assay,Flow Cytometry,Immunoblotting
TSPAN8	Homo sapiens (human)	pancreatic cancer	NA	NA
TSPAN8	Mice	pancreatic cancer	NA	NA
BMI1	Homo sapiens (human)	colorectal cancer	NA	RT-qPCR,Western blot,Flow Cytometry
BMI1	Mice	colorectal cancer	NA	RT-qPCR,Western blot,Flow Cytometry
CD44	Homo sapiens (human)	pancreatic cancer	NA	NA
F3	Homo sapiens (human)	pancreatic cancer	NA	NA
SOCS3	Homo sapiens (human)	Rabies	NA	NA
HOTAIR	Homo sapiens (human)	liver cancer	NA	NA
RAB35	Homo sapiens (human)	liver cancer	NA	NA
SNAP23	Homo sapiens (human)	liver cancer	NA	NA
VAMP3	Homo sapiens (human)	liver cancer	NA	NA
CIC	Homo sapiens (human)	pancreatic cancer	NA	NA
CIC	Mice	pancreatic cancer	NA	NA
CIC	Homo sapiens (human)	colorectal cancer	NA	NA
CIC	Mice	colorectal cancer	NA	NA
CD24	Homo sapiens (human)	ovarian cancer	NA	NA
GLA	Homo sapiens (human)	Fabry Disease	NA	CRISPR/Cas9-mediated
GLA	Homo sapiens (human)	Hypertrophic Cardiomyopathy	NA	CRISPR/Cas9-mediated
STAT3	Homo sapiens (human)	liver cancer	NA	Cell proliferation
FOXO1	Mice	Insulin Resistance	NA	qPCR
PER	Mice	Insulin Resistance	NA	qPCR
PIGS	Swine	Myocardial Infarction	NA	NA
CCA	Homo sapiens (human)	cholangiocarcinoma	NA	Immunohistochemistry
VPS4A	Homo sapiens (human)	liver cancer	NA	NA
CHMP4B	Homo sapiens (human)	liver cancer	NA	NA
SIRT1	Homo sapiens (human)	breast cancer	NA	NA
PER	Homo sapiens (human)	lung cancer	NA	NA
VEGFA	Homo sapiens (human)	liver cancer	HepG2 Cells	Dual-luciferase reporter,Luciferase reporter assay,RT-qPCR,Western blot
MSC	Homo sapiens (human)	Osteoarthritis	Chondrocyte	NA
MSC	Rabbits	Osteoarthritis	Chondrocyte	NA
ELF3	Mice	Diabetic Nephropathy	Podocytes	NA
ELF3	Homo sapiens (human)	Diabetic Nephropathy	Podocytes	NA
SMAD3	Mice	Diabetic Nephropathy	Podocytes	NA
SMAD3	Homo sapiens (human)	Diabetic Nephropathy	Podocytes	NA
WT1	Mice	Diabetic Nephropathy	Podocytes	NA
WT1	Homo sapiens (human)	Diabetic Nephropathy	Podocytes	NA
p53	Homo sapiens (human)	prostate cancer	PC3 Cells	NA
ACR	Homo sapiens (human)	Liver Failure	NA	microarray
CD9	Cattle	Endometritis	NA	qRT-PCR,Western blot,RNA sequencing
CD63	Cattle	Endometritis	NA	qRT-PCR,Western blot,RNA sequencing
NAMPT	Rats, Sprague-Dawley	Neuroinflammation	NA	NA
ATG4B	Homo sapiens (human)	Osteoarthritis	Chondrocytes	NA
ATG4B	Mice	Osteoarthritis	Chondrocytes	NA
HSC	Homo sapiens (human)	Liver Fibrosis	Hepatic Stellate Cells	NA
HSC	Mice	Liver Fibrosis	Hepatic Stellate Cells	NA
SQSTM1	Homo sapiens (human)	Liver Fibrosis	Hepatic Stellate Cells	NA
SQSTM1	Mice	Liver Fibrosis	Hepatic Stellate Cells	NA
TRIB3	Homo sapiens (human)	Liver Fibrosis	Hepatic Stellate Cells	NA
TRIB3	Mice	Liver Fibrosis	Hepatic Stellate Cells	NA
B2M	Homo sapiens (human)	Myocardial Infarction	NA	CRISPR/Cas9
B2M	Rats	Myocardial Infarction	NA	CRISPR/Cas9
NEU1	Homo sapiens (human)	Sialidosis	Myofibroblasts	NA
NEU1	Mice	Sialidosis	Myofibroblasts	NA
HSPA5	Homo sapiens (human)	renal cancer	NA	NA
HSPA5	Mice	renal cancer	NA	NA
H19	Homo sapiens (human)	pituitary adenoma	NA	NA
H19	Mice	pituitary adenoma	NA	NA
CCR7	Mice	breast cancer	NA	Immunohistochemistry
GNS	Mice	breast cancer	NA	Immunohistochemistry
SOCS1	Mice	Acute Lung Injury	NA	NA
hsa-mir-1975	Homo sapiens (human)	Influenza	NA	NA
NKD1	Homo sapiens (human)	gastric cancer	NA	Cell proliferation,Luciferase reporter assay
GATA4	Homo sapiens (human)	Duchenne Muscular Dystrophy	NA	NA
GATA4	Mice	Duchenne Muscular Dystrophy	NA	NA
CAP	Homo sapiens (human)	ovarian cancer	NA	NA
CLIC1	Homo sapiens (human)	gastric cancer	NA	NA
CD44	Homo sapiens (human)	pancreatic cancer	NA	qRT-PCR,Western blot,Flow Cytometry
TSPAN8	Homo sapiens (human)	pancreatic cancer	NA	qRT-PCR,Western blot,Flow Cytometry
ULK1	Rats	Myocardial Reperfusion Injury	NA	ELISA
LPS	Mice	Acute Lung Injury	NA	Immunoblotting
ZCCHC8	Homo sapiens (human)	Pulmonary Fibrosis	NA	NA
ZCCHC8	Mice	Pulmonary Fibrosis	NA	NA
ZCCHC8	Homo sapiens (human)	Idiopathic Pulmonary Fibrosis	NA	NA
ZCCHC8	Mice	Idiopathic Pulmonary Fibrosis	NA	NA
BRAF	Homo sapiens (human)	glioblastoma	NA	NA
EGR1	Mice	Malignant Melanoma	Mast Cells	Cell proliferation
BAG6	Mice	Malignant Melanoma	NA	NA
RAB11A	Homo sapiens (human)	liver cancer	NA	Dual-luciferase reporter,qPCR
HULC	Homo sapiens (human)	liver cancer	NA	Dual-luciferase reporter,qPCR
NPS	Homo sapiens (human)	Malignant Melanoma	NA	NA
NPS	Mice	Malignant Melanoma	NA	NA
CIC	Homo sapiens (human)	gastric cancer	NA	NA
CIC	Rats	gastric cancer	NA	NA
CUT	Homo sapiens (human)	Hepatitis B	NA	RT-PCR,CRISPR/Cas9,CRISPR-Cas9
C6	Homo sapiens (human)	Acanthamoeba Keratitis	THP-1 Cells	NA
C6	Homo sapiens (human)	Central Nervous System Protozoal Infections	THP-1 Cells	NA
CDK6	Homo sapiens (human)	pituitary adenoma	NA	NA
RHOU	Homo sapiens (human)	pituitary adenoma	NA	NA
ABCA1	Homo sapiens (human)	Atherosclerosis	NA	NA
ABCA1	Mice	Atherosclerosis	NA	NA
CAV	Homo sapiens (human)	Atherosclerosis	NA	NA
CAV	Mice	Atherosclerosis	NA	NA
PTEN	Mice	liver cancer	NA	Cell proliferation
ASAH1	Mice	Diabetes Mellitus	NA	NA
NLRP3	Mice	Diabetes Mellitus	NA	NA
CD63	Mice	Diabetes Mellitus	NA	NA
CD63	Homo sapiens (human)	prostate cancer	NA	NA
GSN	Homo sapiens (human)	ovarian cancer	NA	NA
DSS	Mice	Ulcerative Colitis	NA	NA
DSS	Mice	Colitis	NA	NA
LRRK2	Homo sapiens (human)	Parkinson Disease	Induced Pluripotent Stem Cells	NA
SIRT3	Homo sapiens (human)	Atherosclerosis	Neutrophils,Human Umbilical Vein Endothelial Cells	Dual-luciferase reporter,Luciferase reporter assay,Western blot,Chromatin immunoprecipitation
SIRT3	Mice	Atherosclerosis	Neutrophils,Human Umbilical Vein Endothelial Cells	Dual-luciferase reporter,Luciferase reporter assay,Western blot,Chromatin immunoprecipitation
DIS3	Homo sapiens (human)	Malignant Melanoma	NA	NA
EXOSC2	Homo sapiens (human)	Malignant Melanoma	NA	NA
EXOSC3	Homo sapiens (human)	Malignant Melanoma	NA	NA
EXOSC8	Homo sapiens (human)	Malignant Melanoma	NA	NA
EXOSC9	Homo sapiens (human)	Malignant Melanoma	NA	NA
AFP	Homo sapiens (human)	liver cancer	NA	microarray
ILK	Mice	Myocardial Infarction	Endothelial Progenitor Cell	Cell apoptosis
ATP7A	Mice	ovarian cancer	NA	Western blot
PER	Homo sapiens (human)	gastric cancer	NA	NA
CD63	Homo sapiens (human)	lung cancer	NA	NA
PER	Homo sapiens (human)	lung cancer	NA	NA
TRADE	Homo sapiens (human)	Myocardial Infarction	NA	NA
HUR	Homo sapiens (human)	Diabetes Mellitus	NA	NA
HUR	Mice	Diabetes Mellitus	NA	NA
CXCR4	Homo sapiens (human)	liver cancer	Tumor-Associated Macrophages	NA
CXCR4	Mice	liver cancer	Tumor-Associated Macrophages	NA
CXCR4	Homo sapiens (human)	colorectal cancer	Tumor-Associated Macrophages	NA
CXCR4	Mice	colorectal cancer	Tumor-Associated Macrophages	NA
PTEN	Homo sapiens (human)	liver cancer	Tumor-Associated Macrophages	NA
PTEN	Mice	liver cancer	Tumor-Associated Macrophages	NA
PTEN	Homo sapiens (human)	colorectal cancer	Tumor-Associated Macrophages	NA
